// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 0770102F
//  ProductCode: MTi-G-710-2A8G0
//  Firmware Version: 1.4.2
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: General(1.18)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid Acc_X Acc_Y Acc_Z Gyr_X Gyr_Y Gyr_Z
29366 415400000 2022 2 2 14 36 33 55 0.076604 0.026997 9.465834 0.001635 -0.000812 -0.002989
29367 425400000 2022 2 2 14 36 33 55 0.082996 0.031583 9.479619 -0.002004 0.000384 -0.002148
29368 435400000 2022 2 2 14 36 33 55 0.071043 0.028242 9.490160 0.001552 -0.000847 -0.002240
29369 445400000 2022 2 2 14 36 33 55 0.056489 0.048758 9.481721 0.002513 -0.002514 -0.005800
29370 455400000 2022 2 2 14 36 33 55 0.054114 0.046957 9.485119 -0.000527 -0.001498 -0.004100
29371 465400000 2022 2 2 14 36 33 55 0.064565 0.024908 9.482849 0.001247 0.001109 -0.004569
29372 475400000 2022 2 2 14 36 33 55 0.069534 0.025672 9.485566 0.003374 -0.000780 -0.004447
29373 485400000 2022 2 2 14 36 33 55 0.064676 0.031503 9.480969 0.000432 -0.000876 -0.004026
29374 495400000 2022 2 2 14 36 33 55 0.062460 0.032688 9.484765 0.000835 -0.001572 -0.004310
29375 505400000 2022 2 2 14 36 33 55 0.053391 0.035608 9.484686 0.003321 -0.003150 -0.004261
29376 515400000 2022 2 2 14 36 33 55 0.069840 0.030028 9.471871 0.000216 -0.002263 -0.005593
29377 525400000 2022 2 2 14 36 33 55 0.072159 0.018978 9.484800 0.001075 -0.000111 -0.004349
29378 535400000 2022 2 2 14 36 33 55 0.076623 0.019518 9.471517 0.001442 -0.001504 -0.004021
29379 545400000 2022 2 2 14 36 33 55 0.063712 0.043321 9.476059 0.001809 -0.001471 -0.004700
29380 555400000 2022 2 2 14 36 33 55 0.063587 0.029261 9.482093 0.000782 -0.001548 -0.000383
29381 565400000 2022 2 2 14 36 33 55 0.065367 0.020374 9.483221 0.002140 -0.001583 -0.002842
29382 575400000 2022 2 2 14 36 33 55 0.061785 0.040021 9.474880 -0.001988 -0.000865 -0.005141
29383 585400000 2022 2 2 14 36 33 55 0.059815 0.031779 9.471402 0.002273 -0.000785 -0.002416
29384 595400000 2022 2 2 14 36 33 55 0.066924 0.032531 9.481755 -0.001421 0.000005 -0.005107
29385 605400000 2022 2 2 14 36 33 55 0.075818 0.028676 9.484491 0.000942 -0.002656 -0.003555
29386 615400000 2022 2 2 14 36 33 55 0.072581 0.032374 9.465054 0.000012 -0.002480 -0.003665
29387 625400000 2022 2 2 14 36 33 55 0.075270 0.043594 9.463980 0.000510 -0.000812 -0.001782
29388 635400000 2022 2 2 14 36 33 55 0.053307 0.039372 9.483182 0.001036 -0.000948 -0.003668
29389 645400000 2022 2 2 14 36 33 55 0.064344 0.031851 9.484398 0.001150 -0.002097 -0.003377
29390 655400000 2022 2 2 14 36 33 55 0.083185 0.019237 9.454436 0.002213 -0.000949 -0.005732
29391 665400000 2022 2 2 14 36 33 55 0.080181 0.027636 9.463964 0.000901 -0.002273 -0.003380
29392 675400000 2022 2 2 14 36 33 55 0.074107 0.026230 9.490185 -0.000499 -0.001709 -0.003671
29393 685400000 2022 2 2 14 36 33 55 0.063737 0.034191 9.477544 -0.001644 -0.003346 -0.002489
29394 695400000 2022 2 2 14 36 33 55 0.059003 0.042738 9.500003 0.003431 -0.003287 -0.004511
29395 705400000 2022 2 2 14 36 33 55 0.067735 0.019875 9.472954 -0.000262 -0.000004 -0.003567
29396 715400000 2022 2 2 14 36 33 55 0.072289 0.031794 9.486378 0.000236 -0.001583 0.000332
29397 725400000 2022 2 2 14 36 33 55 0.073642 0.034554 9.473069 -0.000703 -0.001542 -0.001813
29398 735400000 2022 2 2 14 36 33 55 0.077663 0.015585 9.468463 0.000259 -0.000601 -0.002031
29399 745400000 2022 2 2 14 36 33 55 0.073207 0.029630 9.470759 0.001584 -0.001064 -0.001525
29400 755400000 2022 2 2 14 36 33 55 0.071960 0.031061 9.484848 0.000848 -0.001998 -0.002341
29401 765400000 2022 2 2 14 36 33 55 0.045875 0.044873 9.470181 -0.001474 -0.003420 -0.001775
29402 775400000 2022 2 2 14 36 33 55 0.065554 0.034803 9.472992 0.002666 -0.000329 -0.002774
29403 785400000 2022 2 2 14 36 33 55 0.073969 0.021841 9.472257 0.000703 -0.001894 -0.002202
29404 795400000 2022 2 2 14 36 33 55 0.085940 0.033880 9.462897 0.001447 -0.000876 -0.004737
29405 805400000 2022 2 2 14 36 33 55 0.074855 0.022318 9.495502 0.000810 -0.002195 -0.004806
29406 815400000 2022 2 2 14 36 33 55 0.067501 0.046744 9.475346 0.002787 0.000712 -0.001564
29407 825400000 2022 2 2 14 36 33 55 0.071204 0.035496 9.477242 0.002533 -0.000083 -0.003417
29408 835400000 2022 2 2 14 36 33 55 0.058888 0.035974 9.501116 -0.000795 -0.002158 -0.005060
29409 845400000 2022 2 2 14 36 33 55 0.072913 0.042613 9.474619 -0.002326 -0.001072 -0.003821
29410 855400000 2022 2 2 14 36 33 55 0.083494 0.027462 9.476562 -0.000874 -0.001180 -0.005173
29411 865400000 2022 2 2 14 36 33 55 0.065319 0.033713 9.484406 -0.001902 0.000834 -0.002007
29412 875400000 2022 2 2 14 36 33 55 0.072241 0.012339 9.469160 0.003088 0.000154 -0.002489
29413 885400000 2022 2 2 14 36 33 55 0.066813 0.028361 9.485928 0.000809 0.000688 -0.003712
29414 895400000 2022 2 2 14 36 33 55 0.072842 0.032430 9.466580 0.002321 0.000232 -0.003739
29415 905400000 2022 2 2 14 36 33 55 0.067015 0.025849 9.478733 -0.001644 -0.001079 -0.001414
29416 915400000 2022 2 2 14 36 33 55 0.082543 0.018253 9.479340 0.000288 -0.001563 -0.003584
29417 925400000 2022 2 2 14 36 33 55 0.066111 0.034484 9.491057 0.000789 -0.001012 -0.001412
29418 935400000 2022 2 2 14 36 33 55 0.078518 0.036074 9.475563 0.000616 -0.001840 -0.003833
29419 945400000 2022 2 2 14 36 33 55 0.071450 0.045888 9.471724 0.000051 -0.002997 -0.001152
29420 955400000 2022 2 2 14 36 33 55 0.065068 0.020712 9.479940 0.001894 -0.001603 -0.003226
29421 965400000 2022 2 2 14 36 33 55 0.055729 0.032786 9.475717 -0.000317 -0.003698 -0.000082
29422 975400000 2022 2 2 14 36 33 55 0.065049 0.036316 9.491428 -0.000593 -0.003332 -0.003832
29423 985400000 2022 2 2 14 36 33 55 0.077173 0.038877 9.470610 0.001470 -0.002264 -0.003329
29424 995400000 2022 2 2 14 36 33 55 0.054155 0.044091 9.474602 0.000911 -0.001080 -0.002551
